variable,estimate,lci,uci,type,est_ci,n,stratification,strata
dm_uncontrolled,22.3,21,23.6,Proportion,"22.3 (21, 23.6)",10629,age_category,18-39
highbp,19.5,18.5,20.7,Proportion,"19.5 (18.5, 20.7)",10605,age_category,18-39
dm_untreated,25.8,24.8,26.7,Proportion,"25.8 (24.8, 26.7)",38894,age_category,40-64
dm_uncontrolled,45.7,44.8,46.5,Proportion,"45.7 (44.8, 46.5)",38894,age_category,40-64
highbp,40,39.2,40.7,Proportion,"40 (39.2, 40.7)",38829,age_category,40-64
dm_untreated,20.5,19.6,21.5,Proportion,"20.5 (19.6, 21.5)",17686,age_category,65 plus
dm_uncontrolled,39.8,38.7,40.8,Proportion,"39.8 (38.7, 40.8)",17686,age_category,65 plus
highbp,45,43.9,46,Proportion,"45 (43.9, 46)",17653,age_category,65 plus
dm_untreated,32.5,30.6,34.5,Proportion,"32.5 (30.6, 34.5)",8673,education,Higher
dm_uncontrolled,35.7,34.2,37.3,Proportion,"35.7 (34.2, 37.3)",8673,education,Higher
highbp,33.4,32,34.9,Proportion,"33.4 (32, 34.9)",8655,education,Higher
dm_untreated,30.9,29.7,32.2,Proportion,"30.9 (29.7, 32.2)",18933,education,No education
dm_uncontrolled,39.6,38.5,40.7,Proportion,"39.6 (38.5, 40.7)",18933,education,No education
highbp,40.8,39.8,41.8,Proportion,"40.8 (39.8, 41.8)",18893,education,No education
dm_untreated,26.4,25.1,27.9,Proportion,"26.4 (25.1, 27.9)",11580,education,Primary
dm_uncontrolled,43.1,41.8,44.5,Proportion,"43.1 (41.8, 44.5)",11580,education,Primary
highbp,41.3,40,42.5,Proportion,"41.3 (40, 42.5)",11561,education,Primary
dm_untreated,28.1,27,29.3,Proportion,"28.1 (27, 29.3)",28023,education,Secondary
dm_uncontrolled,41.9,40.9,42.8,Proportion,"41.9 (40.9, 42.8)",28023,education,Secondary
highbp,37.2,36.3,38.1,Proportion,"37.2 (36.3, 38.1)",27978,education,Secondary
dm_untreated,25.1,24,26.3,Proportion,"25.1 (24, 26.3)",21572,caste,General
dm_uncontrolled,41.7,40.6,42.8,Proportion,"41.7 (40.6, 42.8)",21572,caste,General
highbp,40,39,41,Proportion,"40 (39, 41)",21532,caste,General
dm_untreated,29.4,27.9,30.9,Proportion,"29.4 (27.9, 30.9)",28045,caste,OBC
dm_uncontrolled,41,40,42.1,Proportion,"41 (40, 42.1)",28045,caste,OBC
highbp,37.6,36.8,38.5,Proportion,"37.6 (36.8, 38.5)",27996,caste,OBC
dm_untreated,34.2,32.4,36.1,Proportion,"34.2 (32.4, 36.1)",10990,caste,Schedule Caste
dm_uncontrolled,39.3,37.9,40.8,Proportion,"39.3 (37.9, 40.8)",10990,caste,Schedule Caste
highbp,37.4,36.1,38.8,Proportion,"37.4 (36.1, 38.8)",10971,caste,Schedule Caste
dm_untreated,37.4,34.4,40.5,Proportion,"37.4 (34.4, 40.5)",6602,caste,Schedule Tribe
dm_uncontrolled,33.7,31.4,36.2,Proportion,"33.7 (31.4, 36.2)",6602,caste,Schedule Tribe
