REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
21,dm_undiagnosed,10.5,3.3,17.8,Proportion,"10.5 (3.3, 17.8)",125,,NA,Jammu & Kashmir,1,Jammu
22,dm_unscreened,6.7,1.6,11.9,Proportion,"6.7 (1.6, 11.9)",119,,NA,Jammu & Kashmir,1,Samba
22,dm_undiagnosed,12.9,4.5,21.3,Proportion,"12.9 (4.5, 21.3)",119,,NA,Jammu & Kashmir,1,Samba
23,dm_unscreened,11.4,4.4,18.5,Proportion,"11.4 (4.4, 18.5)",91,,NA,Himachal Pradesh,2,Chamba
23,dm_undiagnosed,22.7,14.6,30.8,Proportion,"22.7 (14.6, 30.8)",91,,NA,Himachal Pradesh,2,Chamba
24,dm_unscreened,10.6,5.7,15.5,Proportion,"10.6 (5.7, 15.5)",171,,NA,Himachal Pradesh,2,Kangra
24,dm_undiagnosed,22.5,16.1,28.9,Proportion,"22.5 (16.1, 28.9)",171,,NA,Himachal Pradesh,2,Kangra
25,dm_unscreened,6.7,-6,19.4,Proportion,"6.7 (-6, 19.4)",31,,NA,Himachal Pradesh,2,Lahul & Spiti
25,dm_undiagnosed,8.3,-4.7,21.3,Proportion,"8.3 (-4.7, 21.3)",31,,NA,Himachal Pradesh,2,Lahul & Spiti
26,dm_unscreened,7.4,1.6,13.2,Proportion,"7.4 (1.6, 13.2)",162,,NA,Himachal Pradesh,2,Kullu
26,dm_undiagnosed,14.4,5.5,23.2,Proportion,"14.4 (5.5, 23.2)",162,,NA,Himachal Pradesh,2,Kullu
27,dm_unscreened,5.2,0.6,9.7,Proportion,"5.2 (0.6, 9.7)",100,,NA,Himachal Pradesh,2,Mandi
27,dm_undiagnosed,16.1,10.3,21.9,Proportion,"16.1 (10.3, 21.9)",100,,NA,Himachal Pradesh,2,Mandi
28,dm_unscreened,5.4,1,9.9,Proportion,"5.4 (1, 9.9)",183,,NA,Himachal Pradesh,2,Hamirpur
28,dm_undiagnosed,16.6,10.8,22.4,Proportion,"16.6 (10.8, 22.4)",183,,NA,Himachal Pradesh,2,Hamirpur
29,dm_unscreened,11.9,7.5,16.3,Proportion,"11.9 (7.5, 16.3)",207,,NA,Himachal Pradesh,2,Una
29,dm_undiagnosed,21.7,16.7,26.7,Proportion,"21.7 (16.7, 26.7)",207,,NA,Himachal Pradesh,2,Una
30,dm_unscreened,11,5.1,16.9,Proportion,"11 (5.1, 16.9)",121,,NA,Himachal Pradesh,2,Bilaspur
30,dm_undiagnosed,23.4,17.2,29.7,Proportion,"23.4 (17.2, 29.7)",121,,NA,Himachal Pradesh,2,Bilaspur
31,dm_unscreened,3,-0.3,6.2,Proportion,"3 (-0.3, 6.2)",81,,NA,Himachal Pradesh,2,Solan
31,dm_undiagnosed,14.7,7.6,21.9,Proportion,"14.7 (7.6, 21.9)",81,,NA,Himachal Pradesh,2,Solan
32,dm_unscreened,2,-0.2,4.2,Proportion,"2 (-0.2, 4.2)",138,,NA,Himachal Pradesh,2,Sirmaur
32,dm_undiagnosed,15,6.8,23.2,Proportion,"15 (6.8, 23.2)",138,,NA,Himachal Pradesh,2,Sirmaur
33,dm_unscreened,2.9,-0.1,5.8,Proportion,"2.9 (-0.1, 5.8)",90,,NA,Himachal Pradesh,2,Shimla
33,dm_undiagnosed,11.4,4.5,18.2,Proportion,"11.4 (4.5, 18.2)",90,,NA,Himachal Pradesh,2,Shimla
34,dm_unscreened,4.2,-0.4,8.8,Proportion,"4.2 (-0.4, 8.8)",69,,NA,Himachal Pradesh,2,Kinnaur
34,dm_undiagnosed,12.4,4.6,20.2,Proportion,"12.4 (4.6, 20.2)",69,,NA,Himachal Pradesh,2,Kinnaur
36,dm_unscreened,3.4,0.5,6.4,Proportion,"3.4 (0.5, 6.4)",167,,NA,Punjab,3,Kapurthala
36,dm_undiagnosed,17.1,11.3,22.9,Proportion,"17.1 (11.3, 22.9)",167,,NA,Punjab,3,Kapurthala
37,dm_unscreened,9,2.8,15.3,Proportion,"9 (2.8, 15.3)",153,,NA,Punjab,3,Jalandhar
37,dm_undiagnosed,27,18.5,35.4,Proportion,"27 (18.5, 35.4)",153,,NA,Punjab,3,Jalandhar
38,dm_unscreened,6.6,1.6,11.7,Proportion,"6.6 (1.6, 11.7)",123,,NA,Punjab,3,Hoshiarpur
38,dm_undiagnosed,21.1,11.8,30.4,Proportion,"21.1 (11.8, 30.4)",123,,NA,Punjab,3,Hoshiarpur
39,dm_unscreened,4.4,1.1,7.7,Proportion,"4.4 (1.1, 7.7)",144,,NA,Punjab,3,Shahid Bhagat Singh Nagar
