REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
21,dm_unscreened,24.1,8.6,39.6,Proportion,"24.1 (8.6, 39.6)",184,,NA,Jammu & Kashmir,1,Jammu
21,dm_undiagnosed,38.7,23.8,53.7,Proportion,"38.7 (23.8, 53.7)",184,,NA,Jammu & Kashmir,1,Jammu
22,dm_unscreened,32.4,17.7,47.1,Proportion,"32.4 (17.7, 47.1)",196,,NA,Jammu & Kashmir,1,Samba
22,dm_undiagnosed,50.1,33,67.2,Proportion,"50.1 (33, 67.2)",196,,NA,Jammu & Kashmir,1,Samba
23,dm_unscreened,23.8,12.8,34.7,Proportion,"23.8 (12.8, 34.7)",166,,NA,Himachal Pradesh,2,Chamba
23,dm_undiagnosed,48.8,35.5,62,Proportion,"48.8 (35.5, 62)",166,,NA,Himachal Pradesh,2,Chamba
24,dm_unscreened,28.5,16.4,40.6,Proportion,"28.5 (16.4, 40.6)",263,,NA,Himachal Pradesh,2,Kangra
24,dm_undiagnosed,57.3,45.5,69.2,Proportion,"57.3 (45.5, 69.2)",263,,NA,Himachal Pradesh,2,Kangra
25,dm_unscreened,33.7,14.6,52.9,Proportion,"33.7 (14.6, 52.9)",75,,NA,Himachal Pradesh,2,Lahul & Spiti
25,dm_undiagnosed,62.9,44.7,81.1,Proportion,"62.9 (44.7, 81.1)",75,,NA,Himachal Pradesh,2,Lahul & Spiti
26,dm_unscreened,15.8,6.9,24.7,Proportion,"15.8 (6.9, 24.7)",201,,NA,Himachal Pradesh,2,Kullu
26,dm_undiagnosed,29.3,14.7,43.9,Proportion,"29.3 (14.7, 43.9)",201,,NA,Himachal Pradesh,2,Kullu
27,dm_unscreened,24.5,15,34.1,Proportion,"24.5 (15, 34.1)",181,,NA,Himachal Pradesh,2,Mandi
27,dm_undiagnosed,54.8,41.9,67.6,Proportion,"54.8 (41.9, 67.6)",181,,NA,Himachal Pradesh,2,Mandi
28,dm_unscreened,22.8,14.2,31.4,Proportion,"22.8 (14.2, 31.4)",296,,NA,Himachal Pradesh,2,Hamirpur
28,dm_undiagnosed,58.5,49.4,67.6,Proportion,"58.5 (49.4, 67.6)",296,,NA,Himachal Pradesh,2,Hamirpur
29,dm_unscreened,34,25.1,42.9,Proportion,"34 (25.1, 42.9)",330,,NA,Himachal Pradesh,2,Una
29,dm_undiagnosed,55.7,46.1,65.2,Proportion,"55.7 (46.1, 65.2)",330,,NA,Himachal Pradesh,2,Una
30,dm_unscreened,42.5,31.7,53.3,Proportion,"42.5 (31.7, 53.3)",264,,NA,Himachal Pradesh,2,Bilaspur
30,dm_undiagnosed,73.3,67,79.6,Proportion,"73.3 (67, 79.6)",264,,NA,Himachal Pradesh,2,Bilaspur
31,dm_unscreened,29.9,17.1,42.6,Proportion,"29.9 (17.1, 42.6)",143,,NA,Himachal Pradesh,2,Solan
31,dm_undiagnosed,57.7,42,73.5,Proportion,"57.7 (42, 73.5)",143,,NA,Himachal Pradesh,2,Solan
32,dm_unscreened,13.2,6.9,19.5,Proportion,"13.2 (6.9, 19.5)",192,,NA,Himachal Pradesh,2,Sirmaur
32,dm_undiagnosed,37.9,24.8,50.9,Proportion,"37.9 (24.8, 50.9)",192,,NA,Himachal Pradesh,2,Sirmaur
33,dm_unscreened,11.9,2.3,21.5,Proportion,"11.9 (2.3, 21.5)",147,,NA,Himachal Pradesh,2,Shimla
33,dm_undiagnosed,60.9,42.3,79.5,Proportion,"60.9 (42.3, 79.5)",147,,NA,Himachal Pradesh,2,Shimla
34,dm_unscreened,13.5,2.3,24.7,Proportion,"13.5 (2.3, 24.7)",100,,NA,Himachal Pradesh,2,Kinnaur
34,dm_undiagnosed,45.2,29.5,60.9,Proportion,"45.2 (29.5, 60.9)",100,,NA,Himachal Pradesh,2,Kinnaur
36,dm_unscreened,13.7,6.8,20.5,Proportion,"13.7 (6.8, 20.5)",255,,NA,Punjab,3,Kapurthala
36,dm_undiagnosed,51.1,41.5,60.7,Proportion,"51.1 (41.5, 60.7)",255,,NA,Punjab,3,Kapurthala
37,dm_unscreened,28.3,18.1,38.4,Proportion,"28.3 (18.1, 38.4)",226,,NA,Punjab,3,Jalandhar
37,dm_undiagnosed,61.9,52.1,71.7,Proportion,"61.9 (52.1, 71.7)",226,,NA,Punjab,3,Jalandhar
38,dm_unscreened,25.1,15,35.2,Proportion,"25.1 (15, 35.2)",205,,NA,Punjab,3,Hoshiarpur
38,dm_undiagnosed,51.7,41,62.5,Proportion,"51.7 (41, 62.5)",205,,NA,Punjab,3,Hoshiarpur
39,dm_unscreened,20.1,9.7,30.5,Proportion,"20.1 (9.7, 30.5)",236,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,dm_undiagnosed,60.8,51.4,70.3,Proportion,"60.8 (51.4, 70.3)",236,,NA,Punjab,3,Shahid Bhagat Singh Nagar
40,dm_unscreened,12.4,5.9,18.9,Proportion,"12.4 (5.9, 18.9)",227,,NA,Punjab,3,Fatehgarh Sahib
40,dm_undiagnosed,45.7,35.2,56.3,Proportion,"45.7 (35.2, 56.3)",227,,NA,Punjab,3,Fatehgarh Sahib
41,dm_unscreened,15.1,5.9,24.4,Proportion,"15.1 (5.9, 24.4)",184,,NA,Punjab,3,Ludhiana
41,dm_undiagnosed,51.9,39,64.8,Proportion,"51.9 (39, 64.8)",184,,NA,Punjab,3,Ludhiana
