variable,estimate,lci,uci,type,est_ci
dm_controlled,51.7,50.5,52.9,Proportion,"51.7 (50.5, 52.9)"
dm_uncontrolled,48.3,47.1,49.5,Proportion,"48.3 (47.1, 49.5)"
