REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
21,dm_undiagnosed,13,3.6,22.4,Proportion,"13 (3.6, 22.4)",125,,NA,Jammu & Kashmir,1,Jammu
22,dm_unscreened,8.6,0.3,16.8,Proportion,"8.6 (0.3, 16.8)",119,,NA,Jammu & Kashmir,1,Samba
22,dm_undiagnosed,14.1,2.6,25.7,Proportion,"14.1 (2.6, 25.7)",119,,NA,Jammu & Kashmir,1,Samba
23,dm_unscreened,8.8,2.8,14.8,Proportion,"8.8 (2.8, 14.8)",91,,NA,Himachal Pradesh,2,Chamba
23,dm_undiagnosed,18.8,11.3,26.4,Proportion,"18.8 (11.3, 26.4)",91,,NA,Himachal Pradesh,2,Chamba
24,dm_unscreened,18.1,5.5,30.7,Proportion,"18.1 (5.5, 30.7)",171,,NA,Himachal Pradesh,2,Kangra
24,dm_undiagnosed,32,17.3,46.6,Proportion,"32 (17.3, 46.6)",171,,NA,Himachal Pradesh,2,Kangra
25,dm_unscreened,4,-3.3,11.3,Proportion,"4 (-3.3, 11.3)",31,,NA,Himachal Pradesh,2,Lahul & Spiti
25,dm_undiagnosed,4.9,-2.5,12.4,Proportion,"4.9 (-2.5, 12.4)",31,,NA,Himachal Pradesh,2,Lahul & Spiti
26,dm_unscreened,6.6,1.5,11.7,Proportion,"6.6 (1.5, 11.7)",162,,NA,Himachal Pradesh,2,Kullu
26,dm_undiagnosed,12.2,4.7,19.7,Proportion,"12.2 (4.7, 19.7)",162,,NA,Himachal Pradesh,2,Kullu
27,dm_unscreened,8.6,-3,20.1,Proportion,"8.6 (-3, 20.1)",100,,NA,Himachal Pradesh,2,Mandi
27,dm_undiagnosed,15,3.6,26.5,Proportion,"15 (3.6, 26.5)",100,,NA,Himachal Pradesh,2,Mandi
28,dm_unscreened,10.5,-1.5,22.5,Proportion,"10.5 (-1.5, 22.5)",183,,NA,Himachal Pradesh,2,Hamirpur
28,dm_undiagnosed,16.5,4.2,28.8,Proportion,"16.5 (4.2, 28.8)",183,,NA,Himachal Pradesh,2,Hamirpur
29,dm_unscreened,14.5,7,22,Proportion,"14.5 (7, 22)",207,,NA,Himachal Pradesh,2,Una
